,Activity,Consumption,Group,Indnum,Quality_of_Life_Importance__1_10,Units,electric___off_peak_hours,electric___peak_hours,electric_water_heater___off_peak,electric_water_heater___peak_hou,gas,gas_water_heater,hybrid,jetfuel,natural_gas,solar_powered__water_heater
18470,car trips- self only,291.0,5.0,435.0,62.0,miles,,,,,1.0,,,,,
18471,car trips- self only,284.0,5.0,436.0,61.0,miles,,,,,1.0,,,,,
18472,car trips- self only,310.0,5.0,437.0,56.0,miles,,,,,1.0,,,,,
18473,car trips- self only,258.0,5.0,438.0,54.0,miles,,,,,1.0,,,,,
18474,car trips- self only,387.0,5.0,439.0,54.0,miles,,,,,1.0,,,,,
18475,car trips- self only,433.0,5.0,440.0,50.0,miles,,,,,1.0,,,,,
18476,car trips- self only,311.0,5.0,441.0,47.0,miles,,,,,1.0,,,,,
18477,car trips- self only,406.0,5.0,442.0,54.0,miles,,,,,1.0,,,,,
18478,car trips- self only,343.0,5.0,443.0,53.0,miles,,,,,1.0,,,,,
18479,car trips- self only,321.0,5.0,444.0,44.0,miles,,,,,1.0,,,,,
18480,car trips- self only,348.0,5.0,445.0,42.0,miles,,,,,1.0,,,,,
18481,car trips- self only,370.0,5.0,446.0,45.0,miles,,,,,1.0,,,,,
18482,car trips- self only,305.0,5.0,447.0,47.0,miles,,,,,1.0,,,,,
18483,car trips- self only,388.0,5.0,448.0,47.0,miles,,,,,1.0,,,,,
18484,car trips- self only,457.0,5.0,449.0,47.0,miles,,,,,1.0,,,,,
18485,car trips- self only,357.0,5.0,450.0,55.0,miles,,,,,1.0,,,,,
18486,car trips- self only,332.0,5.0,451.0,58.0,miles,,,,,1.0,,,,,
18487,car trips- self only,400.0,5.0,452.0,61.0,miles,,,,,1.0,,,,,
18488,car trips- self only,364.0,5.0,453.0,56.0,miles,,,,,1.0,,,,,
18489,car trips- self only,443.0,5.0,454.0,52.0,miles,,,,,1.0,,,,,
18490,car trips- self only,399.0,5.0,455.0,49.0,miles,,,,,1.0,,,,,
18491,car trips- self only,438.0,5.0,456.0,53.0,miles,,,,,1.0,,,,,
18492,car trips- self only,281.0,5.0,457.0,47.0,miles,,,,,1.0,,,,,
18493,car trips- self only,410.0,5.0,458.0,43.0,miles,,,,,1.0,,,,,
18494,car trips- self only,372.0,5.0,459.0,49.0,miles,,,,,1.0,,,,,
18495,car trips- self only,428.0,5.0,460.0,60.0,miles,,,,,1.0,,,,,
18496,car trips- self only,275.0,5.0,461.0,43.0,miles,,,,,1.0,,,,,
18497,car trips- self only,305.0,5.0,462.0,44.0,miles,,,,,1.0,,,,,
18498,car trips- self only,393.0,5.0,463.0,51.0,miles,,,,,1.0,,,,,
18499,car trips- self only,284.0,5.0,464.0,51.0,miles,,,,,1.0,,,,,
18500,car trips- self only,435.0,5.0,465.0,59.0,miles,,,,,1.0,,,,,
18501,car trips- self only,348.0,5.0,466.0,52.0,miles,,,,,1.0,,,,,
18502,car trips- self only,405.0,5.0,467.0,56.0,miles,,,,,1.0,,,,,
18503,car trips- self only,265.0,5.0,468.0,53.0,miles,,,,,1.0,,,,,
18504,car trips- self only,309.0,5.0,469.0,56.0,miles,,,,,1.0,,,,,
18505,car trips- self only,388.0,5.0,470.0,43.0,miles,,,,,1.0,,,,,
18506,car trips- self only,307.0,5.0,471.0,49.0,miles,,,,,1.0,,,,,
18507,car trips- self only,460.0,5.0,472.0,43.0,miles,,,,,1.0,,,,,
18508,car trips- self only,425.0,5.0,473.0,47.0,miles,,,,,1.0,,,,,
18509,car trips- self only,414.0,5.0,474.0,62.0,miles,,,,,1.0,,,,,
18510,car trips- self only,303.0,5.0,475.0,42.0,miles,,,,,1.0,,,,,
18511,car trips- self only,267.0,5.0,476.0,46.0,miles,,,,,1.0,,,,,
18512,car trips- self only,418.0,5.0,477.0,61.0,miles,,,,,1.0,,,,,
18513,car trips- self only,427.0,5.0,478.0,53.0,miles,,,,,1.0,,,,,
18514,car trips- self only,305.0,5.0,479.0,52.0,miles,,,,,1.0,,,,,
18515,car trips- self only,325.0,5.0,480.0,49.0,miles,,,,,1.0,,,,,
18516,car trips- self only,429.0,5.0,481.0,43.0,miles,,,,,1.0,,,,,
18517,car trips- self only,301.0,5.0,482.0,46.0,miles,,,,,1.0,,,,,
18518,car trips- self only,419.0,5.0,483.0,60.0,miles,,,,,1.0,,,,,
18519,car trips- self only,399.0,5.0,484.0,54.0,miles,,,,,1.0,,,,,
18520,car trips- self only,367.0,5.0,485.0,47.0,miles,,,,,1.0,,,,,
18521,car trips- self only,295.0,5.0,486.0,42.0,miles,,,,,1.0,,,,,
18522,car trips- self only,261.0,5.0,487.0,61.0,miles,,,,,1.0,,,,,
18523,car trips- self only,285.0,5.0,488.0,59.0,miles,,,,,1.0,,,,,
18524,car trips- self only,327.0,5.0,489.0,57.0,miles,,,,,1.0,,,,,
18525,car trips- self only,307.0,5.0,490.0,48.0,miles,,,,,1.0,,,,,
18526,car trips- self only,323.0,5.0,491.0,49.0,miles,,,,,1.0,,,,,
18527,car trips- self only,378.0,5.0,492.0,50.0,miles,,,,,1.0,,,,,
18528,car trips- self only,386.0,5.0,493.0,50.0,miles,,,,,1.0,,,,,
18529,car trips- self only,402.0,5.0,494.0,51.0,miles,,,,,1.0,,,,,
18530,car trips- self only,426.0,5.0,495.0,45.0,miles,,,,,1.0,,,,,
18531,car trips- self only,446.0,5.0,496.0,47.0,miles,,,,,1.0,,,,,
18532,car trips- self only,283.0,5.0,497.0,58.0,miles,,,,,1.0,,,,,
18533,car trips- self only,400.0,5.0,498.0,51.0,miles,,,,,1.0,,,,,
18534,car trips- self only,458.0,5.0,499.0,42.0,miles,,,,,1.0,,,,,
18535,car trips- self only,385.0,5.0,500.0,42.0,miles,,,,,1.0,,,,,
18536,car trips- self only,296.0,5.0,501.0,43.0,miles,,,,,1.0,,,,,
18537,car trips- self only,458.0,5.0,502.0,48.0,miles,,,,,1.0,,,,,
18538,car trips- self only,300.0,5.0,503.0,45.0,miles,,,,,1.0,,,,,
18539,car trips- self only,295.0,5.0,504.0,60.0,miles,,,,,1.0,,,,,
18540,car trips- self only,308.0,5.0,505.0,44.0,miles,,,,,1.0,,,,,
18541,car trips- self only,413.0,5.0,506.0,58.0,miles,,,,,1.0,,,,,
18542,car trips- self only,391.0,5.0,507.0,54.0,miles,,,,,1.0,,,,,
18543,car trips- self only,442.0,5.0,508.0,51.0,miles,,,,,1.0,,,,,
18544,car trips- self only,347.0,5.0,509.0,56.0,miles,,,,,1.0,,,,,
18545,car trips- self only,402.0,5.0,510.0,52.0,miles,,,,,1.0,,,,,
18546,car trips- self only,272.0,5.0,511.0,60.0,miles,,,,,1.0,,,,,
18547,car trips- self only,410.0,5.0,512.0,56.0,miles,,,,,1.0,,,,,
18548,car trips- self only,307.0,5.0,513.0,46.0,miles,,,,,1.0,,,,,
18549,car trips- self only,404.0,5.0,514.0,62.0,miles,,,,,1.0,,,,,
18550,car trips- self only,414.0,5.0,515.0,51.0,miles,,,,,1.0,,,,,
18551,car trips- self only,379.0,5.0,516.0,51.0,miles,,,,,1.0,,,,,
18552,car trips- self only,400.0,5.0,517.0,46.0,miles,,,,,1.0,,,,,
18553,car trips- self only,378.0,5.0,518.0,52.0,miles,,,,,1.0,,,,,
18554,car trips- self only,379.0,5.0,519.0,53.0,miles,,,,,1.0,,,,,
18555,car trips- self only,464.0,5.0,520.0,48.0,miles,,,,,1.0,,,,,
18556,car trips- self only,365.0,5.0,521.0,43.0,miles,,,,,1.0,,,,,
18557,car trips- self only,367.0,5.0,522.0,44.0,miles,,,,,1.0,,,,,
18558,car trips- self only,441.0,5.0,523.0,55.0,miles,,,,,1.0,,,,,
18559,car trips- self only,428.0,5.0,524.0,48.0,miles,,,,,1.0,,,,,
18560,car trips- self only,272.0,5.0,525.0,49.0,miles,,,,,1.0,,,,,
18561,car trips- self only,367.0,5.0,526.0,55.0,miles,,,,,1.0,,,,,
18562,car trips- self only,270.0,5.0,527.0,54.0,miles,,,,,1.0,,,,,
18563,car trips- self only,391.0,5.0,528.0,42.0,miles,,,,,1.0,,,,,
18564,car trips- self only,411.0,5.0,529.0,50.0,miles,,,,,1.0,,,,,
18565,car trips- self only,280.0,5.0,530.0,55.0,miles,,,,,1.0,,,,,
18566,car trips- self only,354.0,5.0,531.0,42.0,miles,,,,,1.0,,,,,
18567,car trips- self only,464.0,5.0,532.0,48.0,miles,,,,,1.0,,,,,
18568,car trips- self only,456.0,5.0,533.0,49.0,miles,,,,,1.0,,,,,
18569,car trips- self only,395.0,5.0,534.0,48.0,miles,,,,,1.0,,,,,
18570,car trips- self only,407.0,5.0,535.0,45.0,miles,,,,,1.0,,,,,
18571,car trips- self only,460.0,5.0,536.0,44.0,miles,,,,,1.0,,,,,
18572,car trips- self only,347.0,5.0,537.0,43.0,miles,,,,,1.0,,,,,
18573,car trips- self only,275.0,5.0,538.0,57.0,miles,,,,,1.0,,,,,
18574,car trips- self only,323.0,5.0,539.0,49.0,miles,,,,,1.0,,,,,
18575,car trips- self only,392.0,5.0,540.0,48.0,miles,,,,,1.0,,,,,
18576,car trips- self only,390.0,5.0,541.0,52.0,miles,,,,,1.0,,,,,
18577,car trips- self only,333.0,5.0,542.0,55.0,miles,,,,,1.0,,,,,
18578,car trips- self only,441.0,5.0,543.0,46.0,miles,,,,,1.0,,,,,
18579,car trips- self only,419.0,5.0,544.0,43.0,miles,,,,,1.0,,,,,
18580,car trips- self only,258.0,5.0,545.0,49.0,miles,,,,,1.0,,,,,
18581,car trips- self only,271.0,5.0,546.0,48.0,miles,,,,,1.0,,,,,
18582,car trips- self only,308.0,5.0,547.0,44.0,miles,,,,,1.0,,,,,
18583,car trips- self only,397.0,5.0,548.0,42.0,miles,,,,,1.0,,,,,
18584,car trips- self only,320.0,5.0,549.0,44.0,miles,,,,,1.0,,,,,
18585,car trips- self only,271.0,5.0,550.0,60.0,miles,,,,,1.0,,,,,
18586,car trips- self only,332.0,5.0,551.0,55.0,miles,,,,,1.0,,,,,
18587,car trips- self only,451.0,5.0,552.0,45.0,miles,,,,,1.0,,,,,
18588,car trips- self only,399.0,5.0,553.0,60.0,miles,,,,,1.0,,,,,
18589,car trips- self only,378.0,5.0,554.0,55.0,miles,,,,,1.0,,,,,
18590,car trips- self only,304.0,5.0,555.0,50.0,miles,,,,,1.0,,,,,
18591,car trips- self only,314.0,5.0,556.0,45.0,miles,,,,,1.0,,,,,
18592,car trips- self only,338.0,5.0,557.0,48.0,miles,,,,,1.0,,,,,
18593,car trips- self only,299.0,5.0,558.0,43.0,miles,,,,,1.0,,,,,
18594,car trips- self only,351.0,5.0,559.0,62.0,miles,,,,,1.0,,,,,
18595,car trips- self only,313.0,5.0,560.0,55.0,miles,,,,,1.0,,,,,
18596,car trips- self only,409.0,5.0,561.0,50.0,miles,,,,,1.0,,,,,
18597,car trips- self only,263.0,5.0,562.0,57.0,miles,,,,,1.0,,,,,
18598,car trips- self only,309.0,5.0,563.0,51.0,miles,,,,,1.0,,,,,
18599,car trips- self only,260.0,5.0,564.0,49.0,miles,,,,,1.0,,,,,
18600,car trips- self only,333.0,5.0,565.0,60.0,miles,,,,,1.0,,,,,
18601,car trips- self only,406.0,5.0,566.0,44.0,miles,,,,,1.0,,,,,
18602,car trips- self only,272.0,5.0,567.0,61.0,miles,,,,,1.0,,,,,
18603,car trips- self only,266.0,5.0,568.0,55.0,miles,,,,,1.0,,,,,
18604,car trips- self only,449.0,5.0,569.0,60.0,miles,,,,,1.0,,,,,
18605,car trips- self only,356.0,5.0,570.0,42.0,miles,,,,,1.0,,,,,
18606,car trips- self only,295.0,5.0,571.0,47.0,miles,,,,,1.0,,,,,
18607,car trips- self only,413.0,5.0,572.0,48.0,miles,,,,,1.0,,,,,
18608,car trips- self only,437.0,5.0,573.0,56.0,miles,,,,,1.0,,,,,
18609,car trips- self only,391.0,5.0,574.0,59.0,miles,,,,,1.0,,,,,
18610,car trips- self only,371.0,5.0,575.0,54.0,miles,,,,,1.0,,,,,
18611,car trips- self only,446.0,5.0,576.0,43.0,miles,,,,,1.0,,,,,
18612,car trips- self only,446.0,5.0,577.0,47.0,miles,,,,,1.0,,,,,
18613,car trips- self only,317.0,5.0,578.0,54.0,miles,,,,,1.0,,,,,
18614,car trips- self only,359.0,5.0,579.0,47.0,miles,,,,,1.0,,,,,
18615,car trips- self only,385.0,5.0,580.0,57.0,miles,,,,,1.0,,,,,
18616,car trips- self only,374.0,5.0,581.0,48.0,miles,,,,,1.0,,,,,
18617,car trips- self only,397.0,5.0,582.0,53.0,miles,,,,,1.0,,,,,
18618,car trips- self only,435.0,5.0,583.0,44.0,miles,,,,,1.0,,,,,
18619,car trips- self only,280.0,5.0,584.0,61.0,miles,,,,,1.0,,,,,
18620,car trips- self only,307.0,5.0,585.0,51.0,miles,,,,,1.0,,,,,
18621,car trips- self only,263.0,5.0,586.0,51.0,miles,,,,,1.0,,,,,
18622,car trips- self only,352.0,5.0,587.0,45.0,miles,,,,,1.0,,,,,
18623,car trips- self only,430.0,5.0,588.0,48.0,miles,,,,,1.0,,,,,
18624,car trips- self only,272.0,5.0,589.0,46.0,miles,,,,,1.0,,,,,
18625,car trips- self only,342.0,5.0,590.0,59.0,miles,,,,,1.0,,,,,
18626,car trips- self only,389.0,5.0,591.0,55.0,miles,,,,,1.0,,,,,
18627,car trips- self only,377.0,5.0,592.0,59.0,miles,,,,,1.0,,,,,
18628,car trips- self only,420.0,5.0,593.0,58.0,miles,,,,,1.0,,,,,
18629,car trips- self only,274.0,5.0,594.0,60.0,miles,,,,,1.0,,,,,
18630,car trips- self only,395.0,5.0,595.0,59.0,miles,,,,,1.0,,,,,
18631,car trips- self only,329.0,5.0,596.0,55.0,miles,,,,,1.0,,,,,
18632,car trips- self only,379.0,5.0,597.0,42.0,miles,,,,,1.0,,,,,
18633,car trips- self only,303.0,5.0,598.0,53.0,miles,,,,,1.0,,,,,
18634,car trips- self only,455.0,5.0,599.0,59.0,miles,,,,,1.0,,,,,
18635,car trips- self only,330.0,5.0,600.0,48.0,miles,,,,,1.0,,,,,
18636,car trips- self only,462.0,5.0,601.0,53.0,miles,,,,,1.0,,,,,
18637,car trips- self only,343.0,5.0,602.0,53.0,miles,,,,,1.0,,,,,
18638,car trips- self only,308.0,5.0,603.0,60.0,miles,,,,,1.0,,,,,
18639,car trips- self only,363.0,5.0,604.0,52.0,miles,,,,,1.0,,,,,
18640,car trips- self only,310.0,5.0,605.0,59.0,miles,,,,,1.0,,,,,
18641,car trips- self only,354.0,5.0,606.0,59.0,miles,,,,,1.0,,,,,
18642,car trips- self only,305.0,5.0,607.0,61.0,miles,,,,,1.0,,,,,
18643,car trips- self only,274.0,5.0,608.0,58.0,miles,,,,,1.0,,,,,
18644,car trips- self only,410.0,5.0,609.0,58.0,miles,,,,,1.0,,,,,
18645,car trips- self only,339.0,5.0,610.0,61.0,miles,,,,,1.0,,,,,
18646,car trips- self only,295.0,5.0,611.0,50.0,miles,,,,,1.0,,,,,
18647,car trips- self only,268.0,5.0,612.0,52.0,miles,,,,,1.0,,,,,
18648,car trips- self only,327.0,5.0,613.0,44.0,miles,,,,,1.0,,,,,
18649,car trips- self only,340.0,5.0,614.0,53.0,miles,,,,,1.0,,,,,
18650,car trips- self only,341.0,5.0,615.0,57.0,miles,,,,,1.0,,,,,
18651,car trips- self only,357.0,5.0,616.0,47.0,miles,,,,,1.0,,,,,
18652,car trips- self only,404.0,5.0,617.0,49.0,miles,,,,,1.0,,,,,
18653,car trips- self only,361.0,5.0,618.0,61.0,miles,,,,,1.0,,,,,
18654,car trips- self only,297.0,5.0,619.0,56.0,miles,,,,,1.0,,,,,
18655,car trips- self only,399.0,5.0,620.0,56.0,miles,,,,,1.0,,,,,
18656,car trips- self only,322.0,5.0,621.0,47.0,miles,,,,,1.0,,,,,
18657,car trips- self only,360.0,5.0,622.0,54.0,miles,,,,,1.0,,,,,
18658,car trips- self only,430.0,5.0,623.0,56.0,miles,,,,,1.0,,,,,
18659,car trips- self only,330.0,5.0,624.0,62.0,miles,,,,,1.0,,,,,
18660,car trips- self only,317.0,5.0,625.0,48.0,miles,,,,,1.0,,,,,
18661,car trips- self only,430.0,5.0,626.0,47.0,miles,,,,,1.0,,,,,
18662,car trips- self only,328.0,5.0,627.0,61.0,miles,,,,,1.0,,,,,
18663,car trips- self only,361.0,5.0,628.0,52.0,miles,,,,,1.0,,,,,
18664,car trips- self only,298.0,5.0,629.0,57.0,miles,,,,,1.0,,,,,
18665,car trips- self only,322.0,5.0,630.0,51.0,miles,,,,,1.0,,,,,
18666,car trips- self only,388.0,5.0,631.0,50.0,miles,,,,,1.0,,,,,
18667,car trips- self only,326.0,5.0,632.0,50.0,miles,,,,,1.0,,,,,
18668,car trips- self only,313.0,5.0,633.0,57.0,miles,,,,,1.0,,,,,
18669,car trips- self only,342.0,5.0,634.0,55.0,miles,,,,,1.0,,,,,
18670,car trips- self only,280.0,5.0,635.0,43.0,miles,,,,,1.0,,,,,
18671,car trips- self only,417.0,5.0,636.0,55.0,miles,,,,,1.0,,,,,
18672,car trips- self only,457.0,5.0,637.0,58.0,miles,,,,,1.0,,,,,
18673,car trips- self only,364.0,5.0,638.0,42.0,miles,,,,,1.0,,,,,
18674,car trips- self only,368.0,5.0,639.0,48.0,miles,,,,,1.0,,,,,
18675,car trips- self only,277.0,5.0,640.0,62.0,miles,,,,,1.0,,,,,
18676,car trips- self only,297.0,5.0,641.0,61.0,miles,,,,,1.0,,,,,
18677,car trips- self only,266.0,5.0,642.0,51.0,miles,,,,,1.0,,,,,
18678,car trips- self only,290.0,5.0,643.0,56.0,miles,,,,,1.0,,,,,
18679,car trips- self only,442.0,5.0,644.0,46.0,miles,,,,,1.0,,,,,
18680,car trips- self only,351.0,5.0,645.0,51.0,miles,,,,,1.0,,,,,
18681,car trips- self only,313.0,5.0,646.0,48.0,miles,,,,,1.0,,,,,
18682,car trips- self only,275.0,5.0,647.0,55.0,miles,,,,,1.0,,,,,
18683,car trips- self only,354.0,5.0,648.0,57.0,miles,,,,,1.0,,,,,
18684,car trips- self only,274.0,5.0,649.0,57.0,miles,,,,,1.0,,,,,
18685,car trips- self only,415.0,5.0,650.0,52.0,miles,,,,,1.0,,,,,
18686,car trips- self only,429.0,5.0,651.0,53.0,miles,,,,,1.0,,,,,
18687,car trips- self only,427.0,5.0,652.0,62.0,miles,,,,,1.0,,,,,
18688,car trips- self only,422.0,5.0,653.0,42.0,miles,,,,,1.0,,,,,
18689,car trips- self only,464.0,5.0,654.0,56.0,miles,,,,,1.0,,,,,
18690,car trips- self only,302.0,5.0,655.0,47.0,miles,,,,,1.0,,,,,
18691,car trips- self only,451.0,5.0,656.0,49.0,miles,,,,,1.0,,,,,
18692,car trips- self only,444.0,5.0,657.0,60.0,miles,,,,,1.0,,,,,
18693,car trips- self only,457.0,5.0,658.0,47.0,miles,,,,,1.0,,,,,
18694,car trips- self only,296.0,5.0,659.0,46.0,miles,,,,,1.0,,,,,
18695,car trips- self only,274.0,5.0,660.0,59.0,miles,,,,,1.0,,,,,
18696,car trips- self only,357.0,5.0,661.0,43.0,miles,,,,,1.0,,,,,
18697,car trips- self only,455.0,5.0,662.0,45.0,miles,,,,,1.0,,,,,
18698,car trips- self only,259.0,5.0,663.0,56.0,miles,,,,,1.0,,,,,
18699,car trips- self only,376.0,5.0,664.0,59.0,miles,,,,,1.0,,,,,
18700,car trips- self only,273.0,5.0,665.0,54.0,miles,,,,,1.0,,,,,
18701,car trips- self only,450.0,5.0,666.0,43.0,miles,,,,,1.0,,,,,
18702,car trips- self only,319.0,5.0,667.0,55.0,miles,,,,,1.0,,,,,
18703,car trips- self only,325.0,5.0,668.0,42.0,miles,,,,,1.0,,,,,
18704,car trips- self only,384.0,5.0,669.0,47.0,miles,,,,,1.0,,,,,
18705,car trips- self only,335.0,5.0,670.0,59.0,miles,,,,,1.0,,,,,
18706,car trips- self only,368.0,5.0,671.0,51.0,miles,,,,,1.0,,,,,
18707,car trips- self only,321.0,5.0,672.0,50.0,miles,,,,,1.0,,,,,
18708,car trips- self only,393.0,5.0,673.0,42.0,miles,,,,,1.0,,,,,
18709,car trips- self only,287.0,5.0,674.0,61.0,miles,,,,,1.0,,,,,
18710,car trips- self only,337.0,5.0,675.0,44.0,miles,,,,,1.0,,,,,
18711,car trips- self only,265.0,5.0,676.0,48.0,miles,,,,,1.0,,,,,
18712,car trips- self only,439.0,5.0,677.0,61.0,miles,,,,,1.0,,,,,
18713,car trips- self only,387.0,5.0,678.0,44.0,miles,,,,,1.0,,,,,
18714,car trips- self only,310.0,5.0,679.0,58.0,miles,,,,,1.0,,,,,
18715,car trips- self only,259.0,5.0,680.0,55.0,miles,,,,,1.0,,,,,
18716,car trips- self only,423.0,5.0,681.0,59.0,miles,,,,,1.0,,,,,
18717,car trips- self only,320.0,5.0,682.0,48.0,miles,,,,,1.0,,,,,
18718,car trips- self only,302.0,5.0,683.0,49.0,miles,,,,,1.0,,,,,
18719,car trips- self only,277.0,5.0,684.0,62.0,miles,,,,,1.0,,,,,
18720,car trips- self only,261.0,5.0,685.0,42.0,miles,,,,,1.0,,,,,
18721,car trips- self only,394.0,5.0,686.0,60.0,miles,,,,,1.0,,,,,
18722,car trips- self only,260.0,5.0,687.0,49.0,miles,,,,,1.0,,,,,
18723,car trips- self only,341.0,5.0,688.0,51.0,miles,,,,,1.0,,,,,
18724,car trips- self only,266.0,5.0,689.0,55.0,miles,,,,,1.0,,,,,
18725,car trips- self only,390.0,5.0,690.0,51.0,miles,,,,,1.0,,,,,
18726,car trips- self only,441.0,5.0,691.0,54.0,miles,,,,,1.0,,,,,
18727,car trips- self only,312.0,5.0,692.0,51.0,miles,,,,,1.0,,,,,
18728,car trips- self only,324.0,5.0,693.0,47.0,miles,,,,,1.0,,,,,
18729,car trips- self only,386.0,5.0,694.0,55.0,miles,,,,,1.0,,,,,
18730,car trips- self only,375.0,5.0,695.0,44.0,miles,,,,,1.0,,,,,
18731,car trips- self only,378.0,5.0,696.0,59.0,miles,,,,,1.0,,,,,
18732,car trips- self only,440.0,5.0,697.0,59.0,miles,,,,,1.0,,,,,
18733,car trips- self only,277.0,5.0,698.0,49.0,miles,,,,,1.0,,,,,
18734,car trips- self only,427.0,5.0,699.0,49.0,miles,,,,,1.0,,,,,
18735,car trips- self only,427.0,5.0,700.0,56.0,miles,,,,,1.0,,,,,
18736,car trips- self only,351.0,5.0,701.0,45.0,miles,,,,,1.0,,,,,
18737,car trips- self only,311.0,5.0,702.0,56.0,miles,,,,,1.0,,,,,
18738,car trips- self only,447.0,5.0,703.0,60.0,miles,,,,,1.0,,,,,
18739,car trips- self only,310.0,5.0,704.0,43.0,miles,,,,,1.0,,,,,
18740,car trips- self only,463.0,5.0,705.0,62.0,miles,,,,,1.0,,,,,
18741,car trips- self only,320.0,5.0,706.0,42.0,miles,,,,,1.0,,,,,
18742,car trips- self only,348.0,5.0,707.0,56.0,miles,,,,,1.0,,,,,
18743,car trips- self only,299.0,5.0,708.0,55.0,miles,,,,,1.0,,,,,
18744,car trips- self only,335.0,5.0,709.0,62.0,miles,,,,,1.0,,,,,
18745,car trips- self only,436.0,5.0,710.0,56.0,miles,,,,,1.0,,,,,
18746,car trips- self only,340.0,5.0,711.0,44.0,miles,,,,,1.0,,,,,
18747,car trips- self only,385.0,5.0,712.0,59.0,miles,,,,,1.0,,,,,
18748,car trips- self only,273.0,5.0,713.0,60.0,miles,,,,,1.0,,,,,
18749,car trips- self only,286.0,5.0,714.0,51.0,miles,,,,,1.0,,,,,
18750,car trips- self only,342.0,5.0,715.0,62.0,miles,,,,,1.0,,,,,
18751,car trips- self only,407.0,5.0,716.0,57.0,miles,,,,,1.0,,,,,
18752,car trips- self only,412.0,5.0,717.0,58.0,miles,,,,,1.0,,,,,
18753,car trips- self only,456.0,5.0,718.0,43.0,miles,,,,,1.0,,,,,
18754,car trips- self only,301.0,5.0,719.0,56.0,miles,,,,,1.0,,,,,
18755,car trips- self only,442.0,5.0,720.0,47.0,miles,,,,,1.0,,,,,
18756,car trips- self only,427.0,5.0,721.0,51.0,miles,,,,,1.0,,,,,
18757,car trips- self only,302.0,5.0,722.0,52.0,miles,,,,,1.0,,,,,
18758,car trips- self only,453.0,5.0,723.0,48.0,miles,,,,,1.0,,,,,
18759,car trips- self only,293.0,5.0,724.0,57.0,miles,,,,,1.0,,,,,
18760,car trips- self only,271.0,5.0,725.0,56.0,miles,,,,,1.0,,,,,
18761,car trips- self only,339.0,5.0,726.0,42.0,miles,,,,,1.0,,,,,
18762,car trips- self only,421.0,5.0,727.0,62.0,miles,,,,,1.0,,,,,
18763,car trips- self only,368.0,5.0,728.0,59.0,miles,,,,,1.0,,,,,
18764,car trips- self only,386.0,5.0,729.0,47.0,miles,,,,,1.0,,,,,
18765,car trips- self only,423.0,5.0,730.0,49.0,miles,,,,,1.0,,,,,
18766,car trips- self only,319.0,5.0,731.0,62.0,miles,,,,,1.0,,,,,
18767,car trips- self only,397.0,5.0,732.0,48.0,miles,,,,,1.0,,,,,
18768,car trips- self only,403.0,5.0,733.0,55.0,miles,,,,,1.0,,,,,
18769,car trips- self only,357.0,5.0,734.0,60.0,miles,,,,,1.0,,,,,
18770,car trips- self only,364.0,5.0,735.0,61.0,miles,,,,,1.0,,,,,
18771,car trips- self only,369.0,5.0,736.0,42.0,miles,,,,,1.0,,,,,
18772,car trips- self only,374.0,5.0,737.0,58.0,miles,,,,,1.0,,,,,
18773,car trips- self only,374.0,5.0,738.0,51.0,miles,,,,,1.0,,,,,
18774,car trips- self only,408.0,5.0,739.0,56.0,miles,,,,,1.0,,,,,
18775,car trips- self only,278.0,5.0,740.0,62.0,miles,,,,,1.0,,,,,
18776,car trips- self only,463.0,5.0,741.0,42.0,miles,,,,,1.0,,,,,
18777,car trips- self only,461.0,5.0,742.0,51.0,miles,,,,,1.0,,,,,
18778,car trips- self only,428.0,5.0,743.0,50.0,miles,,,,,1.0,,,,,
18779,car trips- self only,409.0,5.0,744.0,51.0,miles,,,,,1.0,,,,,
18780,car trips- self only,357.0,5.0,745.0,47.0,miles,,,,,1.0,,,,,
18781,car trips- self only,405.0,5.0,746.0,52.0,miles,,,,,1.0,,,,,
18782,car trips- self only,452.0,5.0,747.0,58.0,miles,,,,,1.0,,,,,
18783,car trips- self only,412.0,5.0,748.0,55.0,miles,,,,,1.0,,,,,
18784,car trips- self only,463.0,5.0,749.0,56.0,miles,,,,,1.0,,,,,
18785,car trips- self only,396.0,5.0,750.0,43.0,miles,,,,,1.0,,,,,
18786,car trips- self only,337.0,5.0,751.0,53.0,miles,,,,,1.0,,,,,
18787,car trips- self only,434.0,5.0,752.0,52.0,miles,,,,,1.0,,,,,
18788,car trips- self only,412.0,5.0,753.0,43.0,miles,,,,,1.0,,,,,
18789,car trips- self only,295.0,5.0,754.0,49.0,miles,,,,,1.0,,,,,
18790,car trips- self only,301.0,5.0,755.0,61.0,miles,,,,,1.0,,,,,
18791,car trips- self only,373.0,5.0,756.0,50.0,miles,,,,,1.0,,,,,
18792,car trips- self only,330.0,5.0,757.0,42.0,miles,,,,,1.0,,,,,
18793,car trips- self only,403.0,5.0,758.0,45.0,miles,,,,,1.0,,,,,
18794,car trips- self only,333.0,5.0,759.0,60.0,miles,,,,,1.0,,,,,
18795,car trips- self only,272.0,5.0,760.0,47.0,miles,,,,,1.0,,,,,
18796,car trips- self only,314.0,5.0,761.0,43.0,miles,,,,,1.0,,,,,
18797,car trips- self only,412.0,5.0,762.0,46.0,miles,,,,,1.0,,,,,
18798,car trips- self only,268.0,5.0,763.0,47.0,miles,,,,,1.0,,,,,
18799,car trips- self only,271.0,5.0,764.0,56.0,miles,,,,,1.0,,,,,
