Indnum,Group,Activity,Units,Consumption,Quality_of_Life_Importance__1_10,Name of Resource Used,Amount of Resource Used per Unit
573,5,car trips - driver and self,miles,31.0,39.0,gas,1.0
574,4,TV/computer use,count,64.0,21.0,gas,1.0
574,5,car trips- self only,miles,391.0,59.0,gas,1.0
574,5,car trips - driver and self,miles,40.0,33.0,gas,1.0
575,5,car trips- self only,miles,371.0,54.0,gas,1.0
575,5,car trips - driver and self,miles,18.0,38.0,gas,1.0
576,5,car trips- self only,miles,446.0,43.0,gas,1.0
576,5,car trips - driver and self,miles,29.0,28.0,gas,1.0
577,5,car trips- self only,miles,446.0,47.0,gas,1.0
577,5,car trips - driver and self,miles,38.0,33.0,gas,1.0
578,5,car trips- self only,miles,317.0,54.0,gas,1.0
578,5,car trips - driver and self,miles,11.0,35.0,gas,1.0
579,3,use of  oven,count,11.0,40.0,gas,1.0
579,5,car trips- self only,miles,359.0,47.0,gas,1.0
579,5,car trips - driver and self,miles,19.0,30.0,gas,1.0
580,5,car trips- self only,miles,385.0,57.0,gas,1.0
580,5,car trips - driver and self,miles,14.0,23.0,gas,1.0
581,1,Use of air conditioner,hours,20.0,38.0,gas,1.0
581,5,car trips- self only,miles,374.0,48.0,gas,1.0
581,5,car trips - driver and self,miles,15.0,34.0,gas,1.0
582,5,car trips- self only,miles,397.0,53.0,gas,1.0
582,5,car trips - driver and self,miles,12.0,20.0,gas,1.0
583,1,Household heating => 70F,hours,6.0,89.0,gas,1.0
583,3,use of  oven,count,9.0,39.0,gas,1.0
583,5,car trips- self only,miles,435.0,44.0,gas,1.0
583,5,car trips - driver and self,miles,27.0,31.0,gas,1.0
584,5,car trips- self only,miles,280.0,61.0,gas,1.0
584,5,car trips - driver and self,miles,28.0,20.0,gas,1.0
585,5,car trips- self only,miles,307.0,51.0,gas,1.0
585,5,car trips - driver and self,miles,24.0,20.0,gas,1.0
586,2,shower - short,count,8.0,89.0,gas,1.0
586,5,car trips- self only,miles,263.0,51.0,gas,1.0
586,5,car trips - driver and self,miles,36.0,39.0,gas,1.0
587,3,use of  oven,count,11.0,34.0,gas,1.0
587,3,use of self-clean feature of electric oven,count,3.0,15.0,gas,1.0
587,5,car trips- self only,miles,352.0,45.0,gas,1.0
587,5,car trips - driver and self,miles,16.0,27.0,gas,1.0
588,5,car trips- self only,miles,430.0,48.0,gas,1.0
588,5,car trips - driver and self,miles,24.0,26.0,gas,1.0
589,2,shower - short,count,3.0,86.0,gas,1.0
589,5,car trips- self only,miles,272.0,46.0,gas,1.0
589,5,car trips - driver and self,miles,16.0,21.0,gas,1.0
590,5,car trips- self only,miles,342.0,59.0,gas,1.0
590,5,car trips - driver and self,miles,33.0,40.0,gas,1.0
591,5,car trips- self only,miles,389.0,55.0,gas,1.0
591,5,car trips - driver and self,miles,20.0,30.0,gas,1.0
592,5,car trips- self only,miles,377.0,59.0,gas,1.0
592,5,car trips - driver and self,miles,10.0,19.0,gas,1.0
593,5,car trips- self only,miles,420.0,58.0,gas,1.0
593,5,car trips - driver and self,miles,23.0,20.0,gas,1.0
594,5,car trips- self only,miles,274.0,60.0,gas,1.0
594,5,car trips - driver and self,miles,30.0,21.0,gas,1.0
595,5,car trips- self only,miles,395.0,59.0,gas,1.0
595,5,car trips - driver and self,miles,19.0,29.0,gas,1.0
596,5,car trips- self only,miles,329.0,55.0,gas,1.0
596,5,car trips - driver and self,miles,15.0,34.0,gas,1.0
597,5,car trips- self only,miles,379.0,42.0,gas,1.0
597,5,car trips - driver and self,miles,35.0,36.0,gas,1.0
598,5,car trips- self only,miles,303.0,53.0,gas,1.0
598,5,car trips - driver and self,miles,20.0,22.0,gas,1.0
599,1,Household heating => 70F,hours,3.0,78.0,gas,1.0
599,2,wash-up,count,50.0,34.0,gas,1.0
599,5,car trips- self only,miles,455.0,59.0,gas,1.0
599,5,car trips - driver and self,miles,23.0,21.0,gas,1.0
600,5,car trips- self only,miles,330.0,48.0,gas,1.0
600,5,car trips - driver and self,miles,20.0,24.0,gas,1.0
601,5,car trips- self only,miles,462.0,53.0,gas,1.0
601,5,car trips - driver and self,miles,28.0,27.0,gas,1.0
602,5,car trips- self only,miles,343.0,53.0,gas,1.0
602,5,car trips - driver and self,miles,33.0,21.0,gas,1.0
603,5,car trips- self only,miles,308.0,60.0,gas,1.0
603,5,car trips - driver and self,miles,33.0,32.0,gas,1.0
604,5,car trips- self only,miles,363.0,52.0,gas,1.0
604,5,car trips - driver and self,miles,40.0,28.0,gas,1.0
605,5,car trips- self only,miles,310.0,59.0,gas,1.0
605,5,car trips - driver and self,miles,26.0,28.0,gas,1.0
606,5,car trips- self only,miles,354.0,59.0,gas,1.0
606,5,car trips - driver and self,miles,11.0,23.0,gas,1.0
607,1,Use of air conditioner,hours,24.0,39.0,gas,1.0
607,5,car trips- self only,miles,305.0,61.0,gas,1.0
607,5,car trips - driver and self,miles,39.0,32.0,gas,1.0
608,5,car trips- self only,miles,274.0,58.0,gas,1.0
608,5,car trips - driver and self,miles,23.0,21.0,gas,1.0
609,5,car trips- self only,miles,410.0,58.0,gas,1.0
609,5,car trips - driver and self,miles,30.0,40.0,gas,1.0
610,5,car trips- self only,miles,339.0,61.0,gas,1.0
610,5,car trips - driver and self,miles,30.0,29.0,gas,1.0
611,5,car trips- self only,miles,295.0,50.0,gas,1.0
611,5,car trips - driver and self,miles,20.0,40.0,gas,1.0
612,5,car trips- self only,miles,268.0,52.0,gas,1.0
612,5,car trips - driver and self,miles,35.0,29.0,gas,1.0
613,5,car trips- self only,miles,327.0,44.0,gas,1.0
613,5,car trips - driver and self,miles,33.0,34.0,gas,1.0
614,5,car trips- self only,miles,340.0,53.0,gas,1.0
614,5,car trips - driver and self,miles,17.0,28.0,gas,1.0
615,5,car trips- self only,miles,341.0,57.0,gas,1.0
615,5,car trips - driver and self,miles,34.0,29.0,gas,1.0
616,5,car trips- self only,miles,357.0,47.0,gas,1.0
616,5,car trips - driver and self,miles,19.0,40.0,gas,1.0
617,3,use of clothes washer,count,8.0,42.0,gas,1.0
617,5,car trips- self only,miles,404.0,49.0,gas,1.0
617,5,car trips - driver and self,miles,31.0,38.0,gas,1.0
618,5,car trips- self only,miles,361.0,61.0,gas,1.0
618,5,car trips - driver and self,miles,13.0,25.0,gas,1.0
619,5,car trips- self only,miles,297.0,56.0,gas,1.0
619,5,car trips - driver and self,miles,34.0,39.0,gas,1.0
620,5,car trips- self only,miles,399.0,56.0,gas,1.0
620,5,car trips - driver and self,miles,40.0,28.0,gas,1.0
621,5,car trips- self only,miles,322.0,47.0,gas,1.0
621,5,car trips - driver and self,miles,25.0,19.0,gas,1.0
622,1,Use of air conditioner,count,27.0,58.0,gas,1.0
622,2,wash-up,count,36.0,28.0,gas,1.0
622,5,car trips- self only,miles,360.0,54.0,gas,1.0
622,5,car trips - driver and self,miles,31.0,19.0,gas,1.0
623,5,car trips- self only,miles,430.0,56.0,gas,1.0
623,5,car trips - driver and self,miles,31.0,37.0,gas,1.0
624,5,car trips- self only,miles,330.0,62.0,gas,1.0
624,5,car trips - driver and self,miles,27.0,35.0,gas,1.0
625,5,car trips- self only,miles,317.0,48.0,gas,1.0
625,5,car trips - driver and self,miles,29.0,23.0,gas,1.0
626,3,use of clothes dryer,count,2.0,17.0,gas,1.0
626,5,car trips- self only,miles,430.0,47.0,gas,1.0
626,5,car trips - driver and self,miles,39.0,33.0,gas,1.0
627,5,car trips- self only,miles,328.0,61.0,gas,1.0
627,5,car trips - driver and self,miles,25.0,38.0,gas,1.0
628,5,air travel - large plane,miles,3742.0,41.0,gas,1.0
628,5,car trips- self only,miles,361.0,52.0,gas,1.0
628,5,car trips - driver and self,miles,12.0,34.0,gas,1.0
629,5,car trips- self only,miles,298.0,57.0,gas,1.0
629,5,car trips - driver and self,miles,36.0,27.0,gas,1.0
630,5,car trips- self only,miles,322.0,51.0,gas,1.0
630,5,car trips - driver and self,miles,20.0,22.0,gas,1.0
631,5,car trips- self only,miles,388.0,50.0,gas,1.0
631,5,car trips - driver and self,miles,21.0,19.0,gas,1.0
632,2,shower - long (> 3 min),count,25.0,86.0,gas,1.0
632,5,car trips- self only,miles,326.0,50.0,gas,1.0
632,5,car trips - driver and self,miles,39.0,20.0,gas,1.0
633,5,car trips- self only,miles,313.0,57.0,gas,1.0
633,5,car trips - driver and self,miles,16.0,19.0,gas,1.0
634,5,car trips- self only,miles,342.0,55.0,gas,1.0
634,5,car trips - driver and self,miles,34.0,30.0,gas,1.0
635,5,car trips- self only,miles,280.0,43.0,gas,1.0
635,5,car trips - driver and self,miles,26.0,31.0,gas,1.0
636,5,car trips- self only,miles,417.0,55.0,gas,1.0
636,5,car trips - driver and self,miles,33.0,36.0,gas,1.0
637,2,wash-up,count,40.0,34.0,gas,1.0
637,5,car trips- self only,miles,457.0,58.0,gas,1.0
637,5,car trips - driver and self,miles,24.0,28.0,gas,1.0
638,5,car trips- self only,miles,364.0,42.0,gas,1.0
638,5,car trips - driver and self,miles,32.0,26.0,gas,1.0
639,5,car trips- self only,miles,368.0,48.0,gas,1.0
639,5,car trips - driver and self,miles,14.0,29.0,gas,1.0
640,5,car trips- self only,miles,277.0,62.0,gas,1.0
640,5,car trips - driver and self,miles,18.0,26.0,gas,1.0
641,5,car trips- self only,miles,297.0,61.0,gas,1.0
641,5,car trips - driver and self,miles,36.0,29.0,gas,1.0
642,5,car trips- self only,miles,266.0,51.0,gas,1.0
642,5,car trips - driver and self,miles,26.0,36.0,gas,1.0
643,5,car trips- self only,miles,290.0,56.0,gas,1.0
643,5,car trips - driver and self,miles,40.0,25.0,gas,1.0
644,5,car trips- self only,miles,442.0,46.0,gas,1.0
644,5,car trips - driver and self,miles,40.0,32.0,gas,1.0
645,5,car trips- self only,miles,351.0,51.0,gas,1.0
645,5,car trips - driver and self,miles,27.0,32.0,gas,1.0
646,5,car trips- self only,miles,313.0,48.0,gas,1.0
646,5,car trips - driver and self,miles,34.0,34.0,gas,1.0
647,5,car trips- self only,miles,275.0,55.0,gas,1.0
647,5,car trips - driver and self,miles,25.0,21.0,gas,1.0
648,3,use of clothes dryer,count,2.0,19.0,gas,1.0
648,3,use of self-clean feature of electric oven,count,4.0,21.0,gas,1.0
648,5,car trips- self only,miles,354.0,57.0,gas,1.0
648,5,car trips - driver and self,miles,22.0,38.0,gas,1.0
649,5,car trips- self only,miles,274.0,57.0,gas,1.0
649,5,car trips - driver and self,miles,22.0,39.0,gas,1.0
650,5,car trips- self only,miles,415.0,52.0,gas,1.0
650,5,car trips - driver and self,miles,30.0,33.0,gas,1.0
651,5,car trips- self only,miles,429.0,53.0,gas,1.0
651,5,car trips - driver and self,miles,36.0,35.0,gas,1.0
652,5,car trips- self only,miles,427.0,62.0,gas,1.0
652,5,car trips - driver and self,miles,33.0,25.0,gas,1.0
653,5,car trips- self only,miles,422.0,42.0,gas,1.0
653,5,car trips - driver and self,miles,14.0,28.0,gas,1.0
654,5,car trips- self only,miles,464.0,56.0,gas,1.0
654,5,car trips - driver and self,miles,31.0,21.0,gas,1.0
655,5,car trips- self only,miles,302.0,47.0,gas,1.0
655,5,car trips - driver and self,miles,36.0,19.0,gas,1.0
656,5,car trips- self only,miles,451.0,49.0,gas,1.0
656,5,car trips - driver and self,miles,40.0,22.0,gas,1.0
657,5,car trips- self only,miles,444.0,60.0,gas,1.0
657,5,car trips - driver and self,miles,18.0,39.0,gas,1.0
658,2,shower - long (> 3 min),count,15.0,75.0,gas,1.0
658,5,car trips- self only,miles,457.0,47.0,gas,1.0
658,5,car trips - driver and self,miles,33.0,34.0,gas,1.0
659,5,car trips- self only,miles,296.0,46.0,gas,1.0
659,5,car trips - driver and self,miles,26.0,26.0,gas,1.0
660,5,car trips- self only,miles,274.0,59.0,gas,1.0
660,5,car trips - driver and self,miles,11.0,34.0,gas,1.0
661,5,car trips- self only,miles,357.0,43.0,gas,1.0
661,5,car trips - driver and self,miles,33.0,38.0,gas,1.0
662,5,air travel - large plane,miles,2607.0,48.0,gas,1.0
662,5,car trips- self only,miles,455.0,45.0,gas,1.0
662,5,car trips - driver and self,miles,40.0,20.0,gas,1.0
663,5,car trips- self only,miles,259.0,56.0,gas,1.0
663,5,car trips - driver and self,miles,22.0,37.0,gas,1.0
664,5,car trips- self only,miles,376.0,59.0,gas,1.0
664,5,car trips - driver and self,miles,21.0,29.0,gas,1.0
665,5,car trips- self only,miles,273.0,54.0,gas,1.0
665,5,car trips - driver and self,miles,38.0,25.0,gas,1.0
666,5,air travel - large plane,miles,2114.0,46.0,gas,1.0
666,5,car trips- self only,miles,450.0,43.0,gas,1.0
666,5,car trips - driver and self,miles,12.0,21.0,gas,1.0
667,5,car trips- self only,miles,319.0,55.0,gas,1.0
667,5,car trips - driver and self,miles,37.0,32.0,gas,1.0
668,5,car trips- self only,miles,325.0,42.0,gas,1.0
668,5,car trips - driver and self,miles,29.0,24.0,gas,1.0
669,5,car trips- self only,miles,384.0,47.0,gas,1.0
669,5,car trips - driver and self,miles,32.0,37.0,gas,1.0
670,5,car trips- self only,miles,335.0,59.0,gas,1.0
670,5,car trips - driver and self,miles,33.0,19.0,gas,1.0
671,5,car trips- self only,miles,368.0,51.0,gas,1.0
671,5,car trips - driver and self,miles,25.0,21.0,gas,1.0
672,5,car trips- self only,miles,321.0,50.0,gas,1.0
672,5,car trips - driver and self,miles,40.0,40.0,gas,1.0
673,2,shower - short,count,8.0,87.0,gas,1.0
673,5,car trips- self only,miles,393.0,42.0,gas,1.0
673,5,car trips - driver and self,miles,33.0,34.0,gas,1.0
674,5,car trips- self only,miles,287.0,61.0,gas,1.0
674,5,car trips - driver and self,miles,39.0,26.0,gas,1.0
675,5,car trips- self only,miles,337.0,44.0,gas,1.0
675,5,car trips - driver and self,miles,38.0,22.0,gas,1.0
676,3,use of dishwasher,count,10.0,22.0,gas,1.0
676,5,car trips- self only,miles,265.0,48.0,gas,1.0
676,5,car trips - driver and self,miles,22.0,35.0,gas,1.0
677,2,shower - long (> 3 min),count,28.0,91.0,gas,1.0
677,5,car trips- self only,miles,439.0,61.0,gas,1.0
677,5,car trips - driver and self,miles,26.0,29.0,gas,1.0
678,2,bath,count,5.0,10.0,gas,1.0
678,5,car trips- self only,miles,387.0,44.0,gas,1.0
678,5,car trips - driver and self,miles,11.0,40.0,gas,1.0
679,5,car trips- self only,miles,310.0,58.0,gas,1.0
679,5,car trips - driver and self,miles,20.0,28.0,gas,1.0
680,5,car trips- self only,miles,259.0,55.0,gas,1.0
680,5,car trips - driver and self,miles,18.0,19.0,gas,1.0
681,5,car trips- self only,miles,423.0,59.0,gas,1.0
681,5,car trips - driver and self,miles,10.0,29.0,gas,1.0
682,5,car trips- self only,miles,320.0,48.0,gas,1.0
682,5,car trips - driver and self,miles,12.0,19.0,gas,1.0
683,5,car trips- self only,miles,302.0,49.0,gas,1.0
683,5,car trips - driver and self,miles,35.0,25.0,gas,1.0
684,1,Household heating => 70F,count,9.0,62.0,gas,1.0
684,3,use of  oven,count,11.0,36.0,gas,1.0
684,5,car trips- self only,miles,277.0,62.0,gas,1.0
684,5,car trips - driver and self,miles,29.0,35.0,gas,1.0
685,5,car trips- self only,miles,261.0,42.0,gas,1.0
685,5,car trips - driver and self,miles,12.0,22.0,gas,1.0
686,5,car trips- self only,miles,394.0,60.0,gas,1.0
686,5,car trips - driver and self,miles,36.0,23.0,gas,1.0
687,5,car trips- self only,miles,260.0,49.0,gas,1.0
687,5,car trips - driver and self,miles,12.0,22.0,gas,1.0
688,5,car trips- self only,miles,341.0,51.0,gas,1.0
688,5,car trips - driver and self,miles,27.0,20.0,gas,1.0
689,5,car trips- self only,miles,266.0,55.0,gas,1.0
689,5,car trips - driver and self,miles,18.0,24.0,gas,1.0
690,5,car trips- self only,miles,390.0,51.0,gas,1.0
690,5,car trips - driver and self,miles,40.0,20.0,gas,1.0
691,1,Household heating < 70F,hours,7.0,60.0,gas,1.0
691,5,car trips- self only,miles,441.0,54.0,gas,1.0
691,5,car trips - driver and self,miles,14.0,30.0,gas,1.0
692,5,car trips- self only,miles,312.0,51.0,gas,1.0
692,5,car trips - driver and self,miles,38.0,22.0,gas,1.0
693,5,car trips- self only,miles,324.0,47.0,gas,1.0
693,5,car trips - driver and self,miles,29.0,23.0,gas,1.0
694,5,car trips- self only,miles,386.0,55.0,gas,1.0
694,5,car trips - driver and self,miles,21.0,33.0,gas,1.0
695,3,use of self-clean feature of electric oven,count,1.0,14.0,gas,1.0
695,5,car trips- self only,miles,375.0,44.0,gas,1.0
695,5,car trips - driver and self,miles,20.0,26.0,gas,1.0
696,5,car trips- self only,miles,378.0,59.0,gas,1.0
696,5,car trips - driver and self,miles,31.0,34.0,gas,1.0
697,5,car trips- self only,miles,440.0,59.0,gas,1.0
697,5,car trips - driver and self,miles,35.0,31.0,gas,1.0
698,5,air travel - large plane,miles,3286.0,44.0,gas,1.0
698,5,car trips- self only,miles,277.0,49.0,gas,1.0
698,5,car trips - driver and self,miles,10.0,30.0,gas,1.0
699,5,car trips- self only,miles,427.0,49.0,gas,1.0
699,5,car trips - driver and self,miles,14.0,37.0,gas,1.0
700,5,car trips- self only,miles,427.0,56.0,gas,1.0
700,5,car trips - driver and self,miles,24.0,40.0,gas,1.0
701,5,car trips- self only,miles,351.0,45.0,gas,1.0
701,5,car trips - driver and self,miles,26.0,31.0,gas,1.0
702,5,car trips- self only,miles,311.0,56.0,gas,1.0
702,5,car trips - driver and self,miles,40.0,20.0,gas,1.0
703,5,car trips- self only,miles,447.0,60.0,gas,1.0
703,5,car trips - driver and self,miles,25.0,28.0,gas,1.0
704,5,car trips- self only,miles,310.0,43.0,gas,1.0
704,5,car trips - driver and self,miles,13.0,24.0,gas,1.0
705,5,car trips- self only,miles,463.0,62.0,gas,1.0
705,5,car trips - driver and self,miles,14.0,37.0,gas,1.0
706,5,car trips- self only,miles,320.0,42.0,gas,1.0
706,5,car trips - driver and self,miles,23.0,20.0,gas,1.0
707,5,car trips- self only,miles,348.0,56.0,gas,1.0
707,5,car trips - driver and self,miles,18.0,19.0,gas,1.0
708,5,car trips- self only,miles,299.0,55.0,gas,1.0
708,5,car trips - driver and self,miles,11.0,38.0,gas,1.0
709,5,car trips- self only,miles,335.0,62.0,gas,1.0
709,5,car trips - driver and self,miles,10.0,31.0,gas,1.0
710,5,car trips- self only,miles,436.0,56.0,gas,1.0
710,5,car trips - driver and self,miles,27.0,22.0,gas,1.0
711,5,car trips- self only,miles,340.0,44.0,gas,1.0
711,5,car trips - driver and self,miles,22.0,25.0,gas,1.0
712,5,car trips- self only,miles,385.0,59.0,gas,1.0
712,5,car trips - driver and self,miles,36.0,29.0,gas,1.0
713,5,car trips- self only,miles,273.0,60.0,gas,1.0
713,5,car trips - driver and self,miles,32.0,40.0,gas,1.0
714,5,car trips- self only,miles,286.0,51.0,gas,1.0
714,5,car trips - driver and self,miles,21.0,24.0,gas,1.0
715,5,car trips- self only,miles,342.0,62.0,gas,1.0
715,5,car trips - driver and self,miles,15.0,35.0,gas,1.0
716,5,car trips- self only,miles,407.0,57.0,gas,1.0
716,5,car trips - driver and self,miles,27.0,33.0,gas,1.0
717,3,use of self-clean feature of electric oven,count,3.0,18.0,gas,1.0
717,5,car trips- self only,miles,412.0,58.0,gas,1.0
717,5,car trips - driver and self,miles,16.0,29.0,gas,1.0
718,5,air travel - large plane,miles,3979.0,45.0,gas,1.0
718,5,car trips- self only,miles,456.0,43.0,gas,1.0
718,5,car trips - driver and self,miles,33.0,35.0,gas,1.0
719,5,car trips- self only,miles,301.0,56.0,gas,1.0
719,5,car trips - driver and self,miles,15.0,30.0,gas,1.0
720,2,shower - long (> 3 min),count,11.0,81.0,gas,1.0
720,5,car trips- self only,miles,442.0,47.0,gas,1.0
720,5,car trips - driver and self,miles,12.0,30.0,gas,1.0
721,2,shower - short,count,3.0,98.0,gas,1.0
721,3,use of  oven,count,8.0,40.0,gas,1.0
721,5,car trips- self only,miles,427.0,51.0,gas,1.0
721,5,car trips - driver and self,miles,21.0,27.0,gas,1.0
722,3,use of clothes washer,count,4.0,34.0,gas,1.0
722,5,car trips- self only,miles,302.0,52.0,gas,1.0
722,5,car trips - driver and self,miles,24.0,29.0,gas,1.0
723,1,Household heating < 70F,hours,4.0,90.0,gas,1.0
723,5,car trips- self only,miles,453.0,48.0,gas,1.0
723,5,car trips - driver and self,miles,15.0,28.0,gas,1.0
724,5,car trips- self only,miles,293.0,57.0,gas,1.0
724,5,car trips - driver and self,miles,24.0,29.0,gas,1.0
725,5,car trips- self only,miles,271.0,56.0,gas,1.0
725,5,car trips - driver and self,miles,21.0,21.0,gas,1.0
726,1,Use of air conditioner,count,21.0,57.0,gas,1.0
726,2,shower - short,count,4.0,92.0,gas,1.0
726,5,car trips- self only,miles,339.0,42.0,gas,1.0
726,5,car trips - driver and self,miles,16.0,30.0,gas,1.0
727,5,car trips- self only,miles,421.0,62.0,gas,1.0
727,5,car trips - driver and self,miles,13.0,37.0,gas,1.0
728,5,car trips- self only,miles,368.0,59.0,gas,1.0
728,5,car trips - driver and self,miles,13.0,33.0,gas,1.0
729,5,car trips- self only,miles,386.0,47.0,gas,1.0
729,5,car trips - driver and self,miles,13.0,21.0,gas,1.0
730,2,shower - long (> 3 min),count,17.0,87.0,gas,1.0
730,5,car trips- self only,miles,423.0,49.0,gas,1.0
730,5,car trips - driver and self,miles,39.0,28.0,gas,1.0
731,5,car trips- self only,miles,319.0,62.0,gas,1.0
731,5,car trips - driver and self,miles,35.0,39.0,gas,1.0
732,5,car trips- self only,miles,397.0,48.0,gas,1.0
732,5,car trips - driver and self,miles,29.0,39.0,gas,1.0
733,5,car trips- self only,miles,403.0,55.0,gas,1.0
733,5,car trips - driver and self,miles,21.0,40.0,gas,1.0
734,5,car trips- self only,miles,357.0,60.0,gas,1.0
734,5,car trips - driver and self,miles,33.0,30.0,gas,1.0
735,5,car trips- self only,miles,364.0,61.0,gas,1.0
735,5,car trips - driver and self,miles,11.0,22.0,gas,1.0
736,5,car trips- self only,miles,369.0,42.0,gas,1.0
736,5,car trips - driver and self,miles,35.0,26.0,gas,1.0
737,5,car trips- self only,miles,374.0,58.0,gas,1.0
737,5,car trips - driver and self,miles,32.0,36.0,gas,1.0
738,5,car trips- self only,miles,374.0,51.0,gas,1.0
738,5,car trips - driver and self,miles,15.0,26.0,gas,1.0
739,5,car trips- self only,miles,408.0,56.0,gas,1.0
739,5,car trips - driver and self,miles,37.0,36.0,gas,1.0
740,1,Use of air conditioner,count,19.0,58.0,gas,1.0
740,5,car trips- self only,miles,278.0,62.0,gas,1.0
740,5,car trips - driver and self,miles,31.0,20.0,gas,1.0
741,5,car trips- self only,miles,463.0,42.0,gas,1.0
741,5,car trips - driver and self,miles,14.0,23.0,gas,1.0
742,5,car trips- self only,miles,461.0,51.0,gas,1.0
742,5,car trips - driver and self,miles,10.0,27.0,gas,1.0
743,5,car trips- self only,miles,428.0,50.0,gas,1.0
743,5,car trips - driver and self,miles,19.0,24.0,gas,1.0
744,5,car trips- self only,miles,409.0,51.0,gas,1.0
744,5,car trips - driver and self,miles,22.0,28.0,gas,1.0
745,5,car trips- self only,miles,357.0,47.0,gas,1.0
745,5,car trips - driver and self,miles,17.0,32.0,gas,1.0
746,5,car trips- self only,miles,405.0,52.0,gas,1.0
746,5,car trips - driver and self,miles,18.0,35.0,gas,1.0
747,5,car trips- self only,miles,452.0,58.0,gas,1.0
747,5,car trips - driver and self,miles,19.0,38.0,gas,1.0
748,5,car trips- self only,miles,412.0,55.0,gas,1.0
748,5,car trips - driver and self,miles,35.0,40.0,gas,1.0
749,2,wash-up,count,51.0,40.0,gas,1.0
749,5,car trips- self only,miles,463.0,56.0,gas,1.0
749,5,car trips - driver and self,miles,27.0,26.0,gas,1.0
750,5,car trips- self only,miles,396.0,43.0,gas,1.0
750,5,car trips - driver and self,miles,17.0,22.0,gas,1.0
751,2,wash-up,count,40.0,31.0,gas,1.0
751,5,car trips- self only,miles,337.0,53.0,gas,1.0
751,5,car trips - driver and self,miles,20.0,35.0,gas,1.0
752,3,use of  oven,count,10.0,37.0,gas,1.0
752,5,car trips- self only,miles,434.0,52.0,gas,1.0
752,5,car trips - driver and self,miles,21.0,29.0,gas,1.0
753,5,car trips- self only,miles,412.0,43.0,gas,1.0
753,5,car trips - driver and self,miles,19.0,25.0,gas,1.0
754,3,use of clothes dryer,count,2.0,18.0,gas,1.0
754,5,car trips- self only,miles,295.0,49.0,gas,1.0
754,5,car trips - driver and self,miles,28.0,32.0,gas,1.0
755,5,car trips- self only,miles,301.0,61.0,gas,1.0
755,5,car trips - driver and self,miles,27.0,22.0,gas,1.0
756,5,car trips- self only,miles,373.0,50.0,gas,1.0
756,5,car trips - driver and self,miles,21.0,29.0,gas,1.0
757,5,car trips- self only,miles,330.0,42.0,gas,1.0
757,5,car trips - driver and self,miles,28.0,19.0,gas,1.0
758,5,car trips- self only,miles,403.0,45.0,gas,1.0
758,5,car trips - driver and self,miles,33.0,33.0,gas,1.0
759,5,car trips- self only,miles,333.0,60.0,gas,1.0
759,5,car trips - driver and self,miles,23.0,33.0,gas,1.0
760,5,car trips- self only,miles,272.0,47.0,gas,1.0
760,5,car trips - driver and self,miles,16.0,30.0,gas,1.0
761,3,use of  oven,count,8.0,36.0,gas,1.0
761,5,car trips- self only,miles,314.0,43.0,gas,1.0
761,5,car trips - driver and self,miles,21.0,23.0,gas,1.0
762,5,car trips- self only,miles,412.0,46.0,gas,1.0
762,5,car trips - driver and self,miles,25.0,22.0,gas,1.0
763,5,car trips- self only,miles,268.0,47.0,gas,1.0
763,5,car trips - driver and self,miles,16.0,31.0,gas,1.0
764,5,car trips- self only,miles,271.0,56.0,gas,1.0
764,5,car trips - driver and self,miles,16.0,39.0,gas,1.0
765,5,car trips- self only,miles,322.0,47.0,gas,1.0
765,5,car trips - driver and self,miles,28.0,20.0,gas,1.0
766,5,car trips- self only,miles,423.0,44.0,gas,1.0
766,5,car trips - driver and self,miles,11.0,34.0,gas,1.0
767,5,car trips- self only,miles,370.0,42.0,gas,1.0
767,5,car trips - driver and self,miles,39.0,22.0,gas,1.0
768,5,car trips- self only,miles,463.0,54.0,gas,1.0
768,5,car trips - driver and self,miles,40.0,37.0,gas,1.0
769,5,car trips- self only,miles,339.0,52.0,gas,1.0
769,5,car trips - driver and self,miles,36.0,26.0,gas,1.0
770,5,car trips- self only,miles,462.0,50.0,gas,1.0
770,5,car trips - driver and self,miles,28.0,38.0,gas,1.0
771,5,car trips- self only,miles,419.0,55.0,gas,1.0
771,5,car trips - driver and self,miles,36.0,27.0,gas,1.0
772,5,car trips- self only,miles,461.0,55.0,gas,1.0
772,5,car trips - driver and self,miles,12.0,23.0,gas,1.0
773,1,Household heating => 70F,hours,10.0,83.0,gas,1.0
773,5,car trips- self only,miles,342.0,48.0,gas,1.0
773,5,car trips - driver and self,miles,33.0,40.0,gas,1.0
774,5,car trips- self only,miles,349.0,42.0,gas,1.0
774,5,car trips - driver and self,miles,30.0,20.0,gas,1.0
775,5,car trips- self only,miles,372.0,62.0,gas,1.0
775,5,car trips - driver and self,miles,27.0,24.0,gas,1.0
776,5,car trips- self only,miles,367.0,44.0,gas,1.0
776,5,car trips - driver and self,miles,30.0,26.0,gas,1.0
777,5,car trips- self only,miles,318.0,54.0,gas,1.0
777,5,car trips - driver and self,miles,22.0,31.0,gas,1.0
778,5,car trips- self only,miles,351.0,49.0,gas,1.0
778,5,car trips - driver and self,miles,23.0,35.0,gas,1.0
779,5,car trips- self only,miles,268.0,43.0,gas,1.0
779,5,car trips - driver and self,miles,31.0,34.0,gas,1.0
780,2,shower - short,count,7.0,93.0,gas,1.0
780,2,wash-up,count,48.0,34.0,gas,1.0
